192;192;DROGUERIA MEDITERRANEA;BOGOTA;CL 19 A 88 60 TO 2 LC 105;;BOGOTÁ D.C.;CL 19 A 88 60 TO 2 LC 105
193;193;MEGAFARMA JC;CUNDINAMARCA;CL 19 B 5 B 10 ESTE;;MOSQUERA (CUNDI);CL 19 B 5 B 10 ESTE
194;194;DROGUERIA LA NUBIA;ANTIOQUIA;CL 19 B 81 B 01;;MEDELLIN;CL 19 B 81 B 01
195;195;DROGUERIA ATLANTIS;META;CL 19 C 15 E 04;;VILLAVICENCIO;CL 19 C 15 E 04
196;196;EXITO MANIZALES CENTRO;CALDAS;CL 19 KR 22 32 EQ;;MANIZALES;CL 19 KR 22 32 EQ
197;197;DROGUERIA LA BARATA DC S.A.S;ATLANTICO;CL 19 KR 6 D 35 EQ;;BARRANQUILLA;CL 19 KR 6 D 35 EQ
198;198;DROGAS SANCHEZ E HIJOS;BOGOTA;CL 19 SUR 11 06;;BOGOTÁ D.C.;CL 19 SUR 11 06
199;199;DROGAS FABISAN;BOGOTA;CL 19 SUR 12 A 24;;BOGOTÁ D.C.;CL 19 SUR 12 A 24
200;200;DROGUERIA SUPER ECONOMICA DEL LLANO 2;META;CL 19 SUR 45 B 52;;VILLAVICENCIO;CL 19 SUR 45 B 52
201;201;DROGAS PIZA;BOGOTA;CL 1B 52 C 04;;BOGOTÁ D.C.;CL 1B 52 C 04
202;202;CACEMAN.CELL;NORTE DE SANTANDER;CL 2 0 62;;CÚCUTA;CL 2 0 62
203;203;DROGUERIA ANDALUZA;BOGOTA;CL 2 11 11;;BOGOTÁ D.C.;CL 2 11 11
204;204;DROGUERIA ANDALUZA 2;BOGOTA;CL 2 11 11;;BOGOTÁ D.C.;CL 2 11 11
205;205;CIGARRERIA LIDER DE MORENO;BOGOTA;CL 2 11 21;;BOGOTÁ D.C.;CL 2 11 21
206;206;CONAR COM NEIVA;HUILA;CL 2 14 25;;NEIVA;CL 2 14 25
207;207;COMUNICACIONES YEMO;CUNDINAMARCA;CL 2 2 27;;FOSCA;CL 2 2 27
